Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 61.0.3163.100,,2017-10-22 17:59:23,2017-10-22 18:00:08,45.066s,PASSED
,,,,,,
Test Cases/Lgon/TC01,Chrome 61.0.3163.100,,2017-10-22 17:59:23,2017-10-22 17:59:57,34.251s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:59:23,2017-10-22 17:59:26,2.885s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-22 17:59:26,2017-10-22 17:59:48,21.322s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:59:48,2017-10-22 17:59:51,3.662s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:59:51,2017-10-22 17:59:51,0.123s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:59:51,2017-10-22 17:59:51,0.127s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:59:51,2017-10-22 17:59:55,3.434s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:59:55,2017-10-22 17:59:56,0.947s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 17:59:56,2017-10-22 17:59:56,0.151s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-10-22 17:59:56,2017-10-22 17:59:56,0.058s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 17:59:56,2017-10-22 17:59:56,0.081s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-22 17:59:56,2017-10-22 17:59:56,0.041s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 17:59:56,2017-10-22 17:59:57,0.973s,PASSED
,,,,,,
Test Cases/TC02,Chrome 61.0.3163.100,,2017-10-22 17:59:57,2017-10-22 18:00:08,10.477s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-22 17:59:57,2017-10-22 18:00:05,7.482s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:00:05,2017-10-22 18:00:05,0.128s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-22 18:00:05,2017-10-22 18:00:05,0.114s,PASSED
click,Chrome 61.0.3163.100,,2017-10-22 18:00:05,2017-10-22 18:00:07,1.710s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-22 18:00:07,2017-10-22 18:00:07,0.109s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-22 18:00:07,2017-10-22 18:00:08,0.797s,PASSED
